-3 3 	18 
-3 3.5 	21.25 
-3 4 	25 
-3 4.5 	29.25 
-3 5 	34 
-2.5 -5 	31.25 
-2.5 -4.5 	26.5 
-2.5 -4 	22.25 
-2.5 -3.5 	18.5 
-2.5 -3 	15.25 
-2.5 -2.5 	12.5 
-2.5 -2 	10.25 
-2.5 -1.5 	8.5 
-2.5 -1 	7.25 
-2.5 -0.5 	6.5 
-2.5 0 	6.25 
-2.5 0.5 	6.5 
-2.5 1 	7.25 
-2.5 1.5 	8.5 
-2.5 2 	10.25 
-2.5 2.5 	12.5 
-2.5 3 	15.25 
-2.5 3.5 	18.5 
-2.5 4 	22.25 
-2.5 4.5 	26.5 
-2.5 5 	31.25 
-2 -5 	29 
-2 -4.5 	24.25 
-2 -4 	20 
-2 -3.5 	16.25 
-2 -3 	13 
-2 -2.5 	10.25 
-2 -2 	8 
-2 -1.5 	6.25 
-2 -1 	5 
-2 -0.5 	4.25 
-2 0 	4 
-2 0.5 	4.25 
-2 1 	5 
-2 1.5 	6.25 
-2 2 	8 
-2 2.5 	10.25 
-2 3 	13 
-2 3.5 	16.25 
-2 4 	20 
-2 4.5 	24.25 
-2 5 	29 
-1.5 -5 	27.25 
-1.5 -4.5 	22.5 
-1.5 -4 	18.25 
-1.5 -3.5 	14.5 
-1.5 -3 	11.25 
-1.5 -2.5 	8.5 
-1.5 -2 	6.25 
-1.5 -1.5 	4.5 
-1.5 -1 	3.25 
-1.5 -0.5 	2.5 
-1.5 0 	2.25 
-1.5 0.5 	2.5 
-1.5 1 	3.25 
-1.5 1.5 	4.5 
-1.5 2 	6.25 
-1.5 2.5 	8.5 
-1.5 3 	11.25 
-1.5 3.5 	14.5 
-1.5 4 	18.25 
-1.5 4.5 	22.5 
-1.5 5 	27.25 
-1 -5 	26 
-1 -4.5 	21.25 
-1 -4 	17 
-1 -3.5 	13.25 
-1 -3 	10 
-1 -2.5 	7.25 
-1 -2 	5 
-1 -1.5 	3.25 
-1 -1 	2 
-1 -0.5 	1.25 
-1 0 	1 
-1 0.5 	1.25 
-1 1 	2 
-1 1.5 	3.25 
-1 2 	5 
-1 2.5 	7.25 
-1 3 	10 
-1 3.5 	13.25 
-1 4 	17 
-1 4.5 	21.25 
-1 5 	26 
-0.5 -5 	25.25 
-0.5 -4.5 	20.5 
-0.5 -4 	16.25 
-0.5 -3.5 	12.5 
-0.5 -3 	9.25 
-0.5 -2.5 	6.5 
-0.5 -2 	4.25 
-0.5 -1.5 	2.5 
-0.5 -1 	1.25 
-0.5 -0.5 	0.5 
-0.5 0 	0.25 
-0.5 0.5 	0.5 
-0.5 1 	1.25 
-0.5 1.5 	2.5 
-0.5 2 	4.25 
-0.5 2.5 	6.5 
-0.5 3 	9.25 
-0.5 3.5 	12.5 
-0.5 4 	16.25 
-0.5 4.5 	20.5 
-0.5 5 	25.25 
0 -5 	25 
0 -4.5 	20.25 
0 -4 	16 
0 -3.5 	12.25 
0 -3 	9 
0 -2.5 	6.25 
0 -2 	4 
0 -1.5 	2.25 
0 -1 	1 
0 -0.5 	0.25 
0 0 	0 
0 0.5 	0.25 
0 1 	1 
0 1.5 	2.25 
0 2 	4 
0 2.5 	6.25 
0 3 	9 
0 3.5 	12.25 
0 4 	16 
0 4.5 	20.25 
0 5 	25 
0.5 -5 	25.25 
0.5 -4.5 	20.5 
0.5 -4 	16.25 
0.5 -3.5 	12.5 
0.5 -3 	9.25 
0.5 -2.5 	6.5 
0.5 -2 	4.25 
0.5 -1.5 	2.5 
0.5 -1 	1.25 
0.5 -0.5 	0.5 
0.5 0 	0.25 
0.5 0.5 	0.5 
0.5 1 	1.25 
0.5 1.5 	2.5 
0.5 2 	4.25 
0.5 2.5 	6.5 
0.5 3 	9.25 
0.5 3.5 	12.5 
0.5 4 	16.25 
0.5 4.5 	20.5 
0.5 5 	25.25 
1 -5 	26 
1 -4.5 	21.25 
1 -4 	17 
1 -3.5 	13.25 
1 -3 	10 
1 -2.5 	7.25 
1 -2 	5 
1 -1.5 	3.25 
1 -1 	2 
1 -0.5 	1.25 
1 0 	1 
1 0.5 	1.25 
1 1 	2 
1 1.5 	3.25 
1 2 	5 
1 2.5 	7.25 
1 3 	10 
1 3.5 	13.25 
1 4 	17 
1 4.5 	21.25 
1 5 	26 
1.5 -5 	27.25 
1.5 -4.5 	22.5 
1.5 -4 	18.25 
1.5 -3.5 	14.5 
1.5 -3 	11.25 
1.5 -2.5 	8.5 
1.5 -2 	6.25 
1.5 -1.5 	4.5 
1.5 -1 	3.25 
1.5 -0.5 	2.5 
1.5 0 	2.25 
1.5 0.5 	2.5 
1.5 1 	3.25 
1.5 1.5 	4.5 
1.5 2 	6.25 
1.5 2.5 	8.5 
1.5 3 	11.25 
1.5 3.5 	14.5 
1.5 4 	18.25 
1.5 4.5 	22.5 
1.5 5 	27.25 
2 -5 	29 
2 -4.5 	24.25 
2 -4 	20 
2 -3.5 	16.25 
2 -3 	13 
2 -2.5 	10.25 
2 -2 	8 
2 -1.5 	6.25 
2 -1 	5 
2 -0.5 	4.25 
2 0 	4 
2 0.5 	4.25 
2 1 	5 
2 1.5 	6.25 
2 2 	8 
2 2.5 	10.25 
2 3 	13 
2 3.5 	16.25 
2 4 	20 
2 4.5 	24.25 
2 5 	29 
2.5 -5 	31.25 
2.5 -4.5 	26.5 
2.5 -4 	22.25 
2.5 -3.5 	18.5 
2.5 -3 	15.25 
2.5 -2.5 	12.5 
2.5 -2 	10.25 
2.5 -1.5 	8.5 
2.5 -1 	7.25 
2.5 -0.5 	6.5 
2.5 0 	6.25 
2.5 0.5 	6.5 
2.5 1 	7.25 
2.5 1.5 	8.5 
2.5 2 	10.25 
2.5 2.5 	12.5 
2.5 3 	15.25 
2.5 3.5 	18.5 
2.5 4 	22.25 
2.5 4.5 	26.5 
2.5 5 	31.25 
3 -5 	34 
3 -4.5 	29.25 
3 -4 	25 
3 -3.5 	21.25 
3 -3 	18 
3 -2.5 	15.25 
3 -2 	13 
3 -1.5 	11.25 
3 -1 	10 
3 -0.5 	9.25 
3 0 	9 
3 0.5 	9.25 
3 1 	10 
3 1.5 	11.25 
3 2 	13 
3 2.5 	15.25 
3 3 	18 
3 3.5 	21.25 
3 4 	25 
3 4.5 	29.25 
3 5 	34 
3.5 -5 	37.25 
3.5 -4.5 	32.5 
3.5 -4 	28.25 
3.5 -3.5 	24.5 
3.5 -3 	21.25 
3.5 -2.5 	18.5 
3.5 -2 	16.25 
3.5 -1.5 	14.5 
3.5 -1 	13.25 
3.5 -0.5 	12.5 
3.5 0 	12.25 
3.5 0.5 	12.5 
3.5 1 	13.25 
3.5 1.5 	14.5 
3.5 2 	16.25 
3.5 2.5 	18.5 
3.5 3 	21.25 
3.5 3.5 	24.5 
3.5 4 	28.25 
3.5 4.5 	32.5 
3.5 5 	37.25 
4 -5 	41 
4 -4.5 	36.25 
4 -4 	32 
4 -3.5 	28.25 
4 -3 	25 
4 -2.5 	22.25 
4 -2 	20 
4 -1.5 	18.25 
4 -1 	17 
4 -0.5 	16.25 
4 0 	16 
4 0.5 	16.25 
4 1 	17 
4 1.5 	18.25 
4 2 	20 
4 2.5 	22.25 
4 3 	25 
4 3.5 	28.25 
4 4 	32 
4 4.5 	36.25 
4 5 	41 
4.5 -5 	45.25 
4.5 -4.5 	40.5 
4.5 -4 	36.25 
4.5 -3.5 	32.5 
4.5 -3 	29.25 
4.5 -2.5 	26.5 
4.5 -2 	24.25 
4.5 -1.5 	22.5 
4.5 -1 	21.25 
4.5 -0.5 	20.5 
4.5 0 	20.25 
4.5 0.5 	20.5 
4.5 1 	21.25 
4.5 1.5 	22.5 
4.5 2 	24.25 
4.5 2.5 	26.5 
4.5 3 	29.25 
4.5 3.5 	32.5 
4.5 4 	36.25 
4.5 4.5 	40.5 
4.5 5 	45.25 
5 -5 	50 
5 -4.5 	45.25 
5 -4 	41 
5 -3.5 	37.25 
5 -3 	34 
5 -2.5 	31.25 
5 -2 	29 
5 -1.5 	27.25 
5 -1 	26 
5 -0.5 	25.25 
5 0 	25 
5 0.5 	25.25 
5 1 	26 
5 1.5 	27.25 
5 2 	29 
5 2.5 	31.25 
5 3 	34 
5 3.5 	37.25 
5 4 	41 
5 4.5 	45.25 
5 5 	50 
